HTX,20090212,0.06,0.06,0.06,0.06,30000
HVN,20090212,2.04,2.13,2.01,2.09,4233968
HXL,20090212,0.3,0.3,0.3,0.3,3000
HYO,20090212,0.016,0.016,0.016,0.016,200000
HZL,20090212,0.4,0.4,0.4,0.4,5000
HZN,20090212,0.12,0.13,0.12,0.12,516589
IAA,20090212,36.49,36.49,36.49,36.49,275
IAG,20090212,3.35,3.55,3.32,3.47,4965829
IAS,20090212,0.33,0.34,0.33,0.33,286638
IAU,20090212,0.25,0.27,0.25,0.25,2401757
IBA,20090212,0.81,0.81,0.785,0.8,1066379
ICN,20090212,0.215,0.215,0.205,0.215,513132
ICS,20090212,0.16,0.16,0.155,0.155,16500
IDL,20090212,0.093,0.097,0.091,0.097,3830163
