Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:UBN,"Urbanise.com Limited (ASX:UBN)",https://www.listcorp.com/asx/ubn/urbanise.com-limited,"	57518500",0.73,0.00,0,"Information Technology"
ASX:BCM,"Brazilian Critical Minerals Limited (ASX:BCM)",https://www.listcorp.com/asx/bcm/brazilian-critical-minerals-limited,"	57438000",0.029,-0.00,-3.33,Materials
ASX:MCE,"Matrix Composites & Engineering Ltd (ASX:MCE)",https://www.listcorp.com/asx/mce/matrix-composites-and-engineering-ltd,"	57294900",0.26,0.00,1.96,Energy
ASX:PXX,"PolarX Limited (ASX:PXX)",https://www.listcorp.com/asx/pxx/polarx-limited,"	57052500",0.0205,-0.00,-2.38,Materials
ASX:RTH,"RAS Technology Holdings Limited (ASX:RTH)",https://www.listcorp.com/asx/rth/ras-technology-holdings-limited,"	57005400",1.255,0.04,2.87,Industrials
ASX:CC5,"Clever Culture Systems Limited (ASX:CC5)",https://www.listcorp.com/asx/cc5/clever-culture-systems-limited,"	56920700",0.028,-0.00,-3.45,"Health Care"
ASX:SNAS,"Global X Ultra Short Nasdaq 100 Hedge Fund (ASX:SNAS)",https://www.listcorp.com/asx/snas/global-x-ultra-short-nasdaq-100-hedge-fund,"	56740800",15.58,0.55,3.66,Unclassified
ASX:MAY,"Melbana Energy Limited (ASX:MAY)",https://www.listcorp.com/asx/may/melbana-energy-limited,"	56729500",0.007,-0.01,-53.33,Energy
ASX:EPY,"Earlypay Ltd (ASX:EPY)",https://www.listcorp.com/asx/epy/earlypay-ltd,"	56682100",0.21,0.00,0,Financials
ASX:EMH,"European Metals Holdings Limited (ASX:EMH)",https://www.listcorp.com/asx/emh/european-metals-holdings,"	56642400",0.23,-0.02,-8,Materials
ASX:CSX,"CleanSpace Holdings Limited (ASX:CSX)",https://www.listcorp.com/asx/csx/cleanspace-holdings-limited,"	55960400",0.7,-0.02,-2.1,"Health Care"
ASX:GTN,"GTN Limited (ASX:GTN)",https://www.listcorp.com/asx/gtn/gtn-limited,"	55769700",0.295,0.00,0.85,"Communication Services"
ASX:DSK,"Dusk Group Limited (ASX:DSK)",https://www.listcorp.com/asx/dsk/dusk-group-limited,"	55729700",0.895,0.00,0,"Consumer Discretionary"
ASX:BVR,"Bellavista Resources Limited (ASX:BVR)",https://www.listcorp.com/asx/bvr/bellavista-resources-limited,"	55485100",0.52,-0.03,-4.59,Materials
ASX:PHO,"PhosCo Ltd (ASX:PHO)",https://www.listcorp.com/asx/pho/phosco-ltd,"	55168100",0.115,-0.01,-4.17,Materials
ASX:AQD,"AusQuest Limited (ASX:AQD)",https://www.listcorp.com/asx/aqd/ausquest,"	54902000",0.037,-0.00,-5.13,Materials
ASX:NSC,"NAOS Small Cap Opportunities Company (ASX:NSC)",https://www.listcorp.com/asx/nsc/naos-small-cap-opportunities-company,"	54780500",0.395,-0.02,-4.82,Financials
ASX:DGGF,"BetaShares Ethical Diversified Growth ETF (ASX:DGGF)",https://www.listcorp.com/asx/dggf/betashares-ethical-diversified-growth-etf,"	54766700",29.07,-0.03,-0.1,Unclassified
ASX:LPHD,"Loftus Peak Global Disruption Hedged Active ETF (ASX:LPHD)",https://www.listcorp.com/asx/lphd/loftus-peak-global-disruption-hedged-active-etf,"	54459900",9.5,-0.33,-3.36,Unclassified
ASX:FSI,"Flagship Investments Limited (ASX:FSI)",https://www.listcorp.com/asx/fsi/flagship-investments-limited,"	54300300",2.05,-0.05,-2.38,Financials
ASX:BEAR,"BetaShares Australian Equities Bear Hedge Fund (ASX:BEAR)",https://www.listcorp.com/asx/bear/betashares-australian-equities-bear-hedge-fund,"	54211400",7.33,0.00,0,Unclassified
ASX:PPL,"Pureprofile Limited (ASX:PPL)",https://www.listcorp.com/asx/ppl/pureprofile-limited,"	53810700",0.043,-0.00,-6.52,"Information Technology"
ASX:RTR,"Rumble Resources Limited (ASX:RTR)",https://www.listcorp.com/asx/rtr/rumble-resources-limited,"	53715900",0.036,-0.01,-12.2,Materials
ASX:AUN,"Aurumin Limited (ASX:AUN)",https://www.listcorp.com/asx/aun/aurumin-limited,"	53542700",0.1,-0.00,-4.76,Materials
ASX:JREG,"JPMorgan Global Research Enhanced Index Equity Active ETF (Managed Fund) (ASX:JREG)",https://www.listcorp.com/asx/jreg/jpmorgan-global-research-enhanced-index-equity-active-etf-managed-fund,"	53269300",84.5,0.00,0,Unclassified
ASX:FEG,"Far East Gold Ltd (ASX:FEG)",https://www.listcorp.com/asx/feg/far-east-gold-ltd,"	53219000",0.145,0.00,0,Materials
ASX:PIQ,"Proteomics International Laboratories Ltd (ASX:PIQ)",https://www.listcorp.com/asx/piq/proteomics-international-laboratories,"	53196600",0.325,0.00,0,"Health Care"
ASX:DOC,"Doctor Care Anywhere Group plc (ASX:DOC)",https://www.listcorp.com/asx/doc/doctor-care-anywhere-group-plc,"	53163100",0.135,-0.01,-6.9,"Health Care"
